# decomps-17.0.0.txt
# Date: 2025-07-03, 14:19:08 GMT
# Copyright 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/copyright.html
#
# This file lists decompositions used in generating the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Each line contains three fields, separated by a semicolon.
#
# Field 0: code point
#
# Field 1: decomposition tag
#
# Field 2: decomposition
#
# Those three fields are then followed by a comment, delimited with "#",
# showing the name of the character and the names associated with the
# decomposition sequence, to make it easier to understand the listing
# without having to look up code points.
#
# The decompositions used in the generation of DUCET are loosely based
# on the normative decomposition mappings defined in UnicodeData.txt
# in the Unicode Character Database. An examination of this data listing
# clearly shows the close relationship to the decomposition mappings.
# However, those decomposition mappings are adjusted as part of the input
# to the generation of DUCET, in order to produce default weights more
# appropriate for collation. Those adjusted
# decompositions fall into several classes:
#
# 1. In some cases a decomposition mapping from UnicodeData.txt is
#    suppressed.
#
# 2. In some cases a decomposition mapping from UnicodeData.txt is
#    modified.
#
# 3. In some cases a new decomposition is added for a character which
#    has no decomposition mapping in UnicodeData.txt. 
#
#    In this third case, sometimes no decomposition tag is added
#    to the new decomposition. In those instances, weighting is done as
#    if the character had a canonical decomposition in UnicodeData.txt.
#    In other instances a new decomposition tag "<sort>" is introduced.
#    That tag results in weighting with a distinct tertiary weight,
#    as if the character had a <compat> decomposition tag in
#    UnicodeData.txt.
#
# Note that these adjusted decompositions are only defined for the
# purpose of generating the DUCET table. They are not to be interpreted
# as having any implications for the Unicode Normalization
# Algorithm.
#
# The decomposition tags in this file are derived from the normative
# Decomposition_Type values, but differ from them, in part because
# of the introduction of the "<sort>" tag.
#
# It is also important to note that the decompositions documented in
# this file occasionally make use of private use characters, with private
# semantics internal to the utility used to generate DUCET. The use
# of these private use code points is *NOT* to be interpreted as
# a reservation of those private use code points by the Unicode Consortium
# or as a designation of any specific meaning or properties for those
# particular private use code points for the purposes of interchange.
# The names used in the decomps.txt listing for those private use
# code points are arbitrarily assigned and internal to the utility.
# They are in no way endorsed by the Unicode Consortium.
#
00A0;<noBreak>;0020 # NO-BREAK SPACE => SPACE
00AA;<super>;0061 # FEMININE ORDINAL INDICATOR => LATIN SMALL LETTER A
00B2;<super>;0032 # SUPERSCRIPT TWO => DIGIT TWO
00B3;<super>;0033 # SUPERSCRIPT THREE => DIGIT THREE
00B5;<compat>;03BC # MICRO SIGN => GREEK SMALL LETTER MU
00B9;<super>;0031 # SUPERSCRIPT ONE => DIGIT ONE
00BA;<super>;006F # MASCULINE ORDINAL INDICATOR => LATIN SMALL LETTER O
00BC;<fraction>;0031 2044 0034 # VULGAR FRACTION ONE QUARTER => DIGIT ONE + FRACTION SLASH + DIGIT FOUR
00BD;<fraction>;0031 2044 0032 # VULGAR FRACTION ONE HALF => DIGIT ONE + FRACTION SLASH + DIGIT TWO
00BE;<fraction>;0033 2044 0034 # VULGAR FRACTION THREE QUARTERS => DIGIT THREE + FRACTION SLASH + DIGIT FOUR
00C0;;0041 0300 # LATIN CAPITAL LETTER A WITH GRAVE => LATIN CAPITAL LETTER A + COMBINING GRAVE ACCENT
00C1;;0041 0301 # LATIN CAPITAL LETTER A WITH ACUTE => LATIN CAPITAL LETTER A + COMBINING ACUTE ACCENT
00C2;;0041 0302 # LATIN CAPITAL LETTER A WITH CIRCUMFLEX => LATIN CAPITAL LETTER A + COMBINING CIRCUMFLEX ACCENT
00C3;;0041 0303 # LATIN CAPITAL LETTER A WITH TILDE => LATIN CAPITAL LETTER A + COMBINING TILDE
00C4;;0041 0308 # LATIN CAPITAL LETTER A WITH DIAERESIS => LATIN CAPITAL LETTER A + COMBINING DIAERESIS
00C5;;0041 030A # LATIN CAPITAL LETTER A WITH RING ABOVE => LATIN CAPITAL LETTER A + COMBINING RING ABOVE
00C6;<sort>;0041 F8F0 0045 # LATIN CAPITAL LETTER AE => LATIN CAPITAL LETTER A + PSEUDO-COMBINING VARIANT MARK 1 + LATIN CAPITAL LETTER E
00C7;;0043 0327 # LATIN CAPITAL LETTER C WITH CEDILLA => LATIN CAPITAL LETTER C + COMBINING CEDILLA
00C8;;0045 0300 # LATIN CAPITAL LETTER E WITH GRAVE => LATIN CAPITAL LETTER E + COMBINING GRAVE ACCENT
00C9;;0045 0301 # LATIN CAPITAL LETTER E WITH ACUTE => LATIN CAPITAL LETTER E + COMBINING ACUTE ACCENT
00CA;;0045 0302 # LATIN CAPITAL LETTER E WITH CIRCUMFLEX => LATIN CAPITAL LETTER E + COMBINING CIRCUMFLEX ACCENT
00CB;;0045 0308 # LATIN CAPITAL LETTER E WITH DIAERESIS => LATIN CAPITAL LETTER E + COMBINING DIAERESIS
