size,workers,selectivity,fields,contender,matches_mean,k,window,qps,mean_ms,p50_ms,p90_ms,p99_ms,p999_ms
10000,0,selective,none,hybrid_linear,2.80078125,10,20,4008.7528981287414,0.24945413833484054,0.24849997134879231,0.2843372116331011,0.34088375512510516,0.3893172292737342
10000,0,selective,none,hybrid_rrf,2.80078125,10,20,4747.754854106059,0.21062587069657943,0.2076874952763319,0.23095813812687993,0.272134175756946,0.33966947969747757
10000,0,selective,none,search_branch,2.80078125,10,20,14727.842153098945,0.06789860928741594,0.0642079976387322,0.08029199671000242,0.13012918992899347,0.14976305916207178
10000,0,selective,none,vsim_branch,2.80078125,10,20,6623.026622387298,0.15098837087862194,0.14695798745378852,0.17092121415771544,0.2117982006166129,0.2643760459031912
10000,0,selective,title+text,hybrid_linear,2.80078125,10,20,4334.709798867424,0.23069595114793628,0.22706299205310643,0.25237497757188976,0.2944436966208735,0.3574282323243119
10000,0,selective,title+text,hybrid_rrf,2.80078125,10,20,3930.365516405827,0.2544292625777113,0.2559589920565486,0.28867533546872437,0.33450420363806177,0.3814160428592004
10000,0,selective,title+text,search_branch,2.80078125,10,20,15351.046631278694,0.0651421381238227,0.06175000453367829,0.06933399708941579,0.1730033091735094,0.18104147660778844
10000,0,selective,title+text,vsim_branch,2.80078125,10,20,4296.492566973123,0.2327479879022576,0.23522949777543545,0.2576711354777217,0.30020966019947076,0.3802965778158987
10000,0,medium,none,hybrid_linear,1055.02734375,100,200,750.8744847755527,1.331780504299483,1.3079374912194908,1.5123746939934788,1.7429013329092398,1.9764465951593653
10000,0,medium,none,hybrid_rrf,1055.02734375,100,200,722.7814222093452,1.3835441383416764,1.352562481770292,1.5898330020718277,1.9275857164757315,2.262346975621779
10000,0,medium,none,search_branch,1055.02734375,100,200,2144.9350950164444,0.46621457326303545,0.4590835014823824,0.5547541775740683,0.70158300048206,0.8024252981995251
10000,0,medium,none,vsim_branch,1055.02734375,100,200,2763.5766955382305,0.3618499177585666,0.3609790001064539,0.3918002883438021,0.43783338158391416,0.5628026695922039
10000,0,medium,title+text,hybrid_linear,1055.02734375,100,200,650.5535833511735,1.5371523969612706,1.4971460041124374,1.7668000073172152,2.0714050269452846,2.3575572399422557
10000,0,medium,title+text,hybrid_rrf,1055.02734375,100,200,637.4776066289231,1.568682553867499,1.5414789959322661,1.775799423921853,2.124236867530271,2.477116577501881
10000,0,medium,title+text,search_branch,1055.02734375,100,200,1770.4989297812072,0.5648125413572416,0.5513745127245784,0.6773749541025609,0.8503458794439208,1.0212336757686042
10000,0,medium,title+text,vsim_branch,1055.02734375,100,200,2352.7237816770707,0.42503927056289587,0.42556299013085663,0.458883325336501,0.4894783959025512,0.5146713904687212
10000,0,broad,none,hybrid_linear,10000.0,1000,2000,73.42767674427908,13.618842980455762,13.456625514663756,15.267900010803714,17.036582005675882,18.899882524856427
10000,0,broad,none,hybrid_rrf,10000.0,1000,2000,70.74999084393086,14.134277447553663,13.904083491070196,15.994808886898682,17.786882869550016,19.69120735710023
10000,0,broad,none,search_branch,10000.0,1000,2000,392.9703878441372,2.544721004262101,2.534208499127999,3.5010624967981125,4.3191417917842,6.338514913455612
10000,0,broad,none,vsim_branch,10000.0,1000,2000,163.88459099464393,6.101854932979525,6.067187001463026,6.694020784925669,7.217091665952465,7.84207838703879
10000,0,broad,title+text,hybrid_linear,10000.0,1000,2000,60.50058246358553,16.52876648918027,16.142145497724414,18.873016367433593,21.629039370454844,23.680349744507122
10000,0,broad,title+text,hybrid_rrf,10000.0,1000,2000,62.057758625503894,16.114020585800365,15.693187509896234,18.520620913477615,22.085475328494777,24.75764203805052
10000,0,broad,title+text,search_branch,10000.0,1000,2000,398.5718832826378,2.5089577111260346,2.4958334979601204,3.426858060993254,4.175427483278326,5.83503114309861
10000,0,broad,title+text,vsim_branch,10000.0,1000,2000,168.78102624893734,5.924836589896586,5.791145988041535,6.5477213996928185,6.960469171754082,7.48281289194711
