size,workers,fields,contender,matches_mean,balance_ratio,balanced,k,window,qps,mean_ms,p50_ms,p90_ms,p99_ms,p999_ms
10000,2,none,hybrid_linear,1192.5,1.08,True,10,20,2536.7496859988955,0.3942052325932309,0.3723959962371737,0.5249212321359664,0.7043020328273999,0.8790785910096094
10000,2,none,hybrid_rrf,1192.5,1.08,True,10,20,2710.190722874852,0.36897772232769055,0.3432500234339386,0.4934705095365644,0.6426978309173144,0.8299819656531375
10000,2,none,search_branch,1192.5,1.08,True,10,20,4355.980325192534,0.2295694482862018,0.20483299158513546,0.34480027388781315,0.486007943400182,0.6667813878739317
10000,2,none,vsim_branch,1192.5,1.08,True,10,20,5999.212525215692,0.1666885438375175,0.16437500016763806,0.184583110967651,0.2235902473330499,0.2689609736553397
10000,2,title+text,hybrid_linear,1192.5,1.08,True,10,20,2302.5167734120487,0.43430736815789717,0.41237499681301415,0.5546878208406271,0.7195170869817961,0.8857765142456766
10000,2,title+text,hybrid_rrf,1192.5,1.08,True,10,20,2334.3209115026566,0.42839011340402067,0.4047705151606351,0.5607916158623995,0.7279278396163138,0.8904228155151953
10000,2,title+text,search_branch,1192.5,1.08,True,10,20,3594.113400117195,0.278232734662015,0.26012500165961683,0.3718999563716353,0.49972800596151545,0.6273774082073946
10000,2,title+text,vsim_branch,1192.5,1.08,True,10,20,4569.69361975057,0.21883305166848005,0.2169160288758576,0.23896313505247238,0.26492197648622107,0.3309202881646349
10000,2,none,hybrid_linear,644.90625,0.88,False,50,100,1828.2207640009542,0.546979894163087,0.5396670021582395,0.6356374826282263,0.7311296521220366,0.8766438681050243
10000,2,none,hybrid_rrf,644.90625,0.88,False,50,100,1770.6322257174695,0.5647700213943608,0.5585624894592911,0.6715914001688361,0.7877704227576037,0.9047544376808228
10000,2,none,search_branch,644.90625,0.88,False,50,100,4029.8771633148526,0.24814652146305888,0.24181249318644404,0.3439327061641962,0.4113825177773835,0.4606385268853074
10000,2,none,vsim_branch,644.90625,0.88,False,50,100,4210.4605240631045,0.2375037111225538,0.23529096506536007,0.25795811670832336,0.29900375695433473,0.3564657191163876
10000,2,title+text,hybrid_linear,644.90625,0.88,False,50,100,1566.613700033519,0.6383194529567845,0.6271669990383089,0.7335082977078855,0.8841300092171879,1.0694690527743682
10000,2,title+text,hybrid_rrf,644.90625,0.88,False,50,100,1482.1930397902984,0.6746759518864565,0.6646664987783879,0.8022582973353565,0.9237158851465213,1.1096178462612514
10000,2,title+text,search_branch,644.90625,0.88,False,50,100,3181.5713109143535,0.31431010097730905,0.3048329963348806,0.4062919761054218,0.4710443539079279,0.5732995824655619
10000,2,title+text,vsim_branch,644.90625,0.88,False,50,100,2769.7034144754807,0.36104948810534554,0.3626460093073547,0.4037910664919764,0.43345843499992043,0.5132262074621431
10000,2,none,hybrid_linear,2970.34375,0.98,True,250,500,416.9945320828879,2.3981129800551573,2.361916471272707,2.7251964202150707,3.2037867041071912,3.4990176920546254
10000,2,none,hybrid_rrf,2970.34375,0.98,True,250,500,424.02444211110645,2.3583546151756307,2.3102709965314716,2.6933423068840057,3.163402126519944,3.4695882680825982
10000,2,none,search_branch,2970.34375,0.98,True,250,500,962.3471609894,1.0391260457108729,1.0352919925935566,1.2675922829657793,1.550334242056124,1.991505255340608
10000,2,none,vsim_branch,2970.34375,0.98,True,250,500,1025.15239961622,0.9754647215129808,0.9682085365056992,1.0969581024255604,1.3085888535715642,1.570103344100066
10000,2,title+text,hybrid_linear,2970.34375,0.98,True,250,500,352.13884376587833,2.8397889574058355,2.7739584911614656,3.240008297143504,3.8139380922075365,4.200930137187245
10000,2,title+text,hybrid_rrf,2970.34375,0.98,True,250,500,369.06975488568946,2.7095148999942467,2.66175001161173,3.064199961954728,3.7059366219909866,4.0427258712588845
10000,2,title+text,search_branch,2970.34375,0.98,True,250,500,955.6332853519134,1.0464265062008054,1.0121459781657904,1.2538372073322535,1.5016408363590021,1.974424390296953
10000,2,title+text,vsim_branch,2970.34375,0.98,True,250,500,1086.628474899114,0.9202777426689863,0.9043960017152131,1.0504462174139917,1.1928074376191948,1.4219916584552335
100000,2,none,hybrid_linear,1689.3125,1.07,True,10,20,2225.2707904291674,0.44938351067248733,0.4200204857625067,0.5531297123525293,0.8408530033193533,1.2825017602299515
100000,2,none,hybrid_rrf,1689.3125,1.07,True,10,20,2194.969803509413,0.45558713309001175,0.425833510234952,0.5656291730701923,0.8634599676588569,1.0434392706374684
100000,2,none,search_branch,1689.3125,1.07,True,10,20,3661.4363714033025,0.27311685867607594,0.24791652685962617,0.36317023332230747,0.5908338603330776,1.232980605855123
