version,topology,query_type,index_size,timeout_ms,n,timeout_frac,observed_mean_ms,observed_p50_ms,observed_p95_ms,observed_p99_ms,observed_max_ms,overshoot_mean_ms,overshoot_p50_ms,overshoot_p95_ms,overshoot_p99_ms,overshoot_max_ms
new,cluster3,AGGREGATE,100000,100,50,1.000,107.90,105.50,125.86,127.05,127.05,7.90,5.50,25.86,27.05,27.05
new,cluster3,AGGREGATE,100000,1000,50,0.000,620.28,618.99,633.62,638.83,638.83,0.00,0.00,0.00,0.00,0.00
new,cluster3,AGGREGATE,100000,2000,50,0.000,618.92,617.69,629.82,683.55,683.55,0.00,0.00,0.00,0.00,0.00
new,cluster3,AGGREGATE,100000,50,50,1.000,58.66,57.13,71.41,80.44,80.44,8.66,7.13,21.41,30.44,30.44
new,cluster3,AGGREGATE,100000,500,50,0.000,622.36,615.55,631.69,921.03,921.03,122.36,115.55,131.69,421.03,421.03
new,cluster3,AGGREGATE,1000000,100,50,1.000,108.42,107.73,118.02,125.04,125.04,8.42,7.73,18.02,25.04,25.04
new,cluster3,AGGREGATE,1000000,1000,50,1.000,1031.82,1010.54,1151.82,1319.88,1319.88,31.82,10.54,151.82,319.88,319.88
new,cluster3,AGGREGATE,1000000,2000,50,0.180,5838.99,6637.35,6830.61,7053.78,7053.78,3838.99,4637.35,4830.61,5053.78,5053.78
new,cluster3,AGGREGATE,1000000,50,50,1.000,57.35,57.37,64.53,66.42,66.42,7.35,7.37,14.53,16.42,16.42
new,cluster3,AGGREGATE,1000000,500,50,1.000,539.39,509.54,699.65,905.65,905.65,39.39,9.54,199.65,405.65,405.65
new,cluster3,HYBRID,100000,100,50,0.000,3.80,3.64,4.45,4.70,4.70,0.00,0.00,0.00,0.00,0.00
new,cluster3,HYBRID,100000,1000,50,0.000,3.86,3.74,4.46,5.15,5.15,0.00,0.00,0.00,0.00,0.00
new,cluster3,HYBRID,100000,2000,50,0.000,3.91,3.89,4.82,5.01,5.01,0.00,0.00,0.00,0.00,0.00
new,cluster3,HYBRID,100000,50,50,0.000,4.15,3.99,6.78,8.54,8.54,0.00,0.00,0.00,0.00,0.00
new,cluster3,HYBRID,100000,500,50,0.000,4.00,4.09,4.47,4.63,4.63,0.00,0.00,0.00,0.00,0.00
new,cluster3,HYBRID,1000000,100,50,0.000,52.23,51.34,60.70,62.61,62.61,0.00,0.00,0.00,0.00,0.00
new,cluster3,HYBRID,1000000,1000,50,0.000,52.46,51.13,61.28,64.50,64.50,0.00,0.00,0.00,0.00,0.00
new,cluster3,HYBRID,1000000,2000,50,0.000,52.17,49.30,58.48,60.93,60.93,0.00,0.00,0.00,0.00,0.00
new,cluster3,HYBRID,1000000,50,50,0.940,91.36,100.69,145.56,150.01,150.01,41.50,50.69,95.56,100.01,100.01
new,cluster3,HYBRID,1000000,500,50,0.000,50.86,47.80,58.86,64.71,64.71,0.00,0.00,0.00,0.00,0.00
new,cluster3,SEARCH,100000,100,50,0.000,159.46,157.75,167.00,192.35,192.35,59.46,57.75,67.00,92.35,92.35
new,cluster3,SEARCH,100000,1000,50,0.000,159.74,158.87,167.03,168.45,168.45,0.00,0.00,0.00,0.00,0.00
