version,topology,query_type,index_size,timeout_ms,iter,observed_ms,timed_out,error,server_mean_ms
old,cluster5,SEARCH,100000,50,0,129.874,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,1,99.633,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,2,103.320,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,3,104.678,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,4,108.832,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,5,99.457,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,6,108.947,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,7,77.042,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,8,93.663,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,9,101.709,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,10,99.152,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,11,101.887,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,12,90.145,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,13,88.172,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,14,98.270,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,15,269.686,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,16,104.517,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,17,98.577,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,18,95.612,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,19,93.795,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,20,99.496,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,21,92.713,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,22,96.720,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,23,96.346,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,24,101.703,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,25,99.564,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,26,105.215,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,27,100.190,1,Timeout limit was reached,101.990
old,cluster5,SEARCH,100000,50,28,83.335,1,Timeout limit was reached,101.990
