version,topology,query_type,index_size,timeout_ms,n,timeout_frac,observed_mean_ms,observed_p50_ms,observed_p95_ms,observed_p99_ms,observed_max_ms,server_mean_ms,server_overshoot_mean_ms,overshoot_mean_ms,overshoot_p50_ms,overshoot_p95_ms,overshoot_p99_ms,overshoot_max_ms
new,cluster3,AGGREGATE,10000,1,50,1.000,2.65,2.49,4.18,5.16,5.16,0.94,0.00,1.65,1.49,3.18,4.16,4.16
new,cluster3,AGGREGATE,10000,10,50,0.360,40.32,55.41,62.67,64.27,64.27,10.23,0.23,30.32,45.41,52.67,54.27,54.27
new,cluster3,AGGREGATE,10000,2,50,1.000,4.90,4.54,7.27,10.95,10.95,0.29,0.00,2.90,2.54,5.27,8.95,8.95
new,cluster3,AGGREGATE,10000,20,50,0.000,57.00,56.17,63.36,63.76,63.76,16.64,0.00,37.00,36.17,43.36,43.76,43.76
new,cluster3,AGGREGATE,10000,5,50,1.000,7.93,7.80,11.24,12.47,12.47,0.08,0.00,2.93,2.80,6.24,7.47,7.47
new,cluster3,AGGREGATE,10000,50,50,0.000,57.26,56.51,65.46,66.97,66.97,16.69,0.00,7.26,6.51,15.46,16.97,16.97
new,cluster5,AGGREGATE,100000,100,50,0.600,296.98,118.57,586.22,615.04,615.04,57.61,0.00,196.98,18.57,486.22,515.04,515.04
new,cluster5,AGGREGATE,100000,1000,50,0.000,568.18,566.29,596.36,614.24,614.24,142.75,0.00,0.00,0.00,0.00,0.00,0.00
new,cluster5,AGGREGATE,100000,2000,50,0.000,567.16,566.95,599.11,606.54,606.54,142.39,0.00,0.00,0.00,0.00,0.00,0.00
new,cluster5,AGGREGATE,100000,50,50,1.000,61.83,58.47,79.35,99.61,99.61,0.12,0.00,11.83,8.47,29.35,49.61,49.61
new,cluster5,AGGREGATE,100000,500,50,0.000,567.17,564.56,598.71,608.12,608.12,142.67,0.00,67.17,64.56,98.71,108.12,108.12
new,cluster5,HYBRID,100000,100,50,0.000,4.35,4.24,5.26,5.44,5.44,3.92,0.00,0.00,0.00,0.00,0.00,0.00
new,cluster5,HYBRID,100000,1000,50,0.000,4.27,4.20,5.14,5.45,5.45,3.87,0.00,0.00,0.00,0.00,0.00,0.00
