version,topology,query_type,index_size,timeout_ms,iter,observed_ms,timed_out,error
old,sa,SEARCH,100000,50,0,122.443,0,
old,sa,SEARCH,100000,50,1,118.522,0,
old,sa,SEARCH,100000,50,2,115.817,0,
old,sa,SEARCH,100000,50,3,114.822,0,
old,sa,SEARCH,100000,50,4,115.927,0,
old,sa,SEARCH,100000,50,5,115.367,0,
old,sa,SEARCH,100000,50,6,122.967,0,
old,sa,SEARCH,100000,50,7,115.719,0,
old,sa,SEARCH,100000,50,8,115.633,0,
old,sa,SEARCH,100000,50,9,115.035,0,
old,sa,SEARCH,100000,50,10,114.617,0,
old,sa,SEARCH,100000,50,11,116.363,0,
old,sa,SEARCH,100000,50,12,114.797,0,
old,sa,SEARCH,100000,50,13,115.271,0,
old,sa,SEARCH,100000,50,14,114.584,0,
old,sa,SEARCH,100000,50,15,120.961,0,
old,sa,SEARCH,100000,50,16,126.430,0,
old,sa,SEARCH,100000,50,17,120.028,0,
old,sa,SEARCH,100000,50,18,119.442,0,
old,sa,SEARCH,100000,50,19,119.748,0,
old,sa,SEARCH,100000,50,20,122.113,0,
old,sa,SEARCH,100000,50,21,120.006,0,
old,sa,SEARCH,100000,50,22,118.781,0,
old,sa,SEARCH,100000,50,23,115.555,0,
old,sa,SEARCH,100000,50,24,119.290,0,
old,sa,SEARCH,100000,50,25,123.640,0,
old,sa,SEARCH,100000,50,26,119.789,0,
old,sa,SEARCH,100000,50,27,117.319,0,
old,sa,SEARCH,100000,50,28,120.709,0,
old,sa,SEARCH,100000,50,29,119.178,0,
old,sa,SEARCH,100000,50,30,117.346,0,
old,sa,SEARCH,100000,50,31,118.871,0,
old,sa,SEARCH,100000,50,32,115.793,0,
old,sa,SEARCH,100000,50,33,120.201,0,
old,sa,SEARCH,100000,50,34,117.853,0,
old,sa,SEARCH,100000,50,35,152.389,0,
old,sa,SEARCH,100000,50,36,120.099,0,
old,sa,SEARCH,100000,50,37,118.681,0,
old,sa,SEARCH,100000,50,38,119.006,0,
old,sa,SEARCH,100000,50,39,119.059,0,
old,sa,SEARCH,100000,50,40,141.762,0,
